Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
7,41,24,129666475435130332881929862635520
8,39,25,1192299054610832573085062395453440
9,37,26,6325466009435902139157410205542400
10,35,27,25316266848286497981086460618547200
11,33,28,84468508909786332001546613821923840
12,31,29,246489954640014272586250665736802880
13,29,30,645477472117397934926727305835224880
14,27,31,1540454389839785976435285943021364880
15,25,32,3389604892385230804041705081155742720
16,23,33,6953273044737316559442803162464404480
17,21,34,13434532571686470606915618855117968640
18,19,35,24640147805960136782793207194774726400
19,17,36,43047417724066512161047303654824230400
20,15,37,71390513277538253275795000163601120000
21,13,38,110765647766476803031870135730597064000
22,11,39,155399335586607237632404631971637400000
23,9,40,183505366915378873509036892548669120000
24,7,41,157465011414009385200802412933208000000
25,5,42,76167471996006620516208787007142000000
26,3,43,15818602636133432564924953187730000000
27,1,44,1032668421349957022042578546380000000
