Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
11,59,2,77771173255913924214257700790216249964708677525261516800
12,57,3,123270264097041824938087016097642589073226144622156185600
13,55,4,137280322495139272184433450933794874396920061048112742400
14,53,5,134015331155065929353466346034714730239299445359770009600
15,51,6,123486251103735084740894925052509170651552813977449676800
16,49,7,110976880555660291859243558544203890898564214915013017600
17,47,8,98869440360737013929554159089687960726227925588895334400
18,45,9,88047944364242002440379408453922637069385744709940019200
19,43,10,78697508340567892924927082063884541184999184921583616000
20,41,11,70712352659418459907559375561543106414815469445447680000
21,39,12,63891946680546483917373859241212496351604461907640320000
22,37,13,58030455691085223664749272390658568094425986440724480000
23,35,14,52953597764662281355529590513123566717262797728102400000
24,33,15,48528682536472785578730275660835212820065514112204800000
25,31,16,44659893615886287015042683943813001853629064954880000000
26,29,17,41275514494651564691427325363799976025608030289920000000
27,27,18,38311884854249737006821111846005522064273779174400000000
28,25,19,35696929237738230053986795810491853978561619865600000000
29,23,20,33333585807222347799063773628947687398274115532800000000
30,21,21,31081595018632855847368432020785352083250917376000000000
31,19,22,28736393395643772361613366190176276281857477888000000000
32,17,23,26008836753579586355801497145654980485691564032000000000
33,15,24,22525359383361947107582187214371717937080463360000000000
34,13,25,17907221786695460179649135711374070483479756800000000000
35,11,26,12056280701069835471845585743078992956176896000000000000
36,9,27,5779314534023315201715307821112276293801984000000000000
37,7,28,1276733592896655268887977418686522995645440000000000000
