Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
7,36,29,1038165104004523627353661440
8,34,30,13957553064949706545532559360
9,32,31,108539143814747450608818094080
10,30,32,638453033345954855713279795200
11,28,33,3138326079613945173574612992000
12,26,34,13511803116790975359034390118400
13,24,35,52197164748326546244311887872000
14,22,36,183386781155622864723274635264000
15,20,37,592114691365178739416180121600000
16,18,38,1777515057923491345598334074880000
17,16,39,5012152053980318136126126489600000
18,14,40,13322020659077472054114834432000000
19,12,41,32998580224524768526443535564800000
20,10,42,72776324966474565028108099584000000
21,8,43,123408587583249729406318632960000000
22,6,44,78591784724069564516655550464000000
