Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
9,49,14,4912045850608813222406430607117047690362880
10,47,15,30324364689982979587305005278630753598668800
11,45,16,109175108448449781147281215077018070552166400
12,43,17,301014197178182244835968389930045331248332800
13,41,18,705220138238528743919998207321791110949365760
14,39,19,1478467668397679691710450456750879791486448640
15,37,20,2855017526354499127523258993777765340837120000
16,35,21,5166239716111904236585581471128802876678144000
17,33,22,8854671660154155359289879898250818255647744000
18,31,23,14480858681514427462803700578917240658705792000
19,29,24,22729618640059809321376144139160782173280256000
20,27,25,34428409574458925650133151428937093790848000000
21,25,26,50577710165957395588149459687213014291280000000
22,23,27,72362134106875403148930873891356153322936000000
23,21,28,101057384789025810825728185548885605699568000000
24,19,29,137646929383542870621419252667308257829376000000
25,17,30,181773717849310062306855978595341619920000000000
26,15,31,229386468171729262501351823842925497836000000000
27,13,32,268460072533231945780811398969823279424000000000
28,11,33,274259004753249483685088594208911557632000000000
29,9,34,215023309622094697801332687781095434688000000000
30,7,35,96954848137761288032185396499140610400000000000
31,5,36,15070701783071702802930372512819784000000000000
