Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
17,55,0,222630933784458595502763386638740980462349659781803674828800
18,53,1,125239407631233194989109533583269386896772648167772114124800
19,51,2,73944265567236319466037201402195031530439330373504085196800
20,49,3,45609223002969483818431915497941396360332044684081561600000
21,47,4,29256710022509648116721946207885815233839999792272695296000
22,45,5,19432388907115465319363713605761607244074359781517762560000
23,43,6,13308657636312566456074469115441908146342494569288478720000
24,41,7,9361214450445988676727562211057426918347561702233784320000
25,39,8,6738226262916818148992822905906806126883174896669696000000
26,37,9,4947562970024211886171168172316833222095484230330368000000
27,35,10,3695926198713494765418552874265280442542426659228160000000
28,33,11,2803225729981408291047908282355837812263525537167360000000
29,31,12,2155563558548293615273032780719338475344756215287040000000
30,29,13,1678712196936038557677218815180711755683957803084800000000
31,27,14,1322817552406234987186729474289129769046259382470400000000
32,25,15,1053396001001861077541070130244558187767609195520000000000
33,23,16,845908568022122615995086112300847177965467002880000000000
34,21,17,682390613479751469879181356963054322378765688832000000000
35,19,18,549300382753266529145018930125778796724781168640000000000
36,17,19,436171724026037693433845870664302228573367459840000000000
37,15,20,334962894389005656838386867393507321911888640000000000000
38,13,21,240280486803190722393788004841297455150909235200000000000
39,11,22,150891574706562582805922934470470367606657894400000000000
40,9,23,72542786811632812706530221713179011352578048000000000000
41,7,24,18944294645076084846928274460129550735386624000000000000
