Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
13,59,0,6066151513961286088712100661636867497247276846970398310400
14,57,1,2829216194121044008645386515479965086384177044934177587200
15,55,2,1411389261857475703758840671182006722209360184911020032000
16,53,3,748469892624614817101954104624329387932321969559306240000
17,51,4,419489676835054333006567584916062217906575640360648704000
18,49,5,247101679750905082725150920300131597117547816508456960000
19,47,6,152166420690325471712734034832525950570956300077957120000
20,45,7,97458452665222745298477619135223813145021676683264000000
21,43,8,64602248447887798921730866651684737955217647612723200000
22,41,9,44117236153937630656203264895660805695585248608256000000
23,39,10,30909769894247633758382667239237562115183933194240000000
24,37,11,22139052831749486484598535053136337453456158097408000000
25,35,12,16164399279443783657413429293638308251368148172800000000
26,33,13,12005793595916156535755280292178423640453021696000000000
27,31,14,9057915180454319921502691662794103415794592972800000000
28,29,15,6934156151233590043331121358501986508298158080000000000
29,27,16,5379471127118858241831314176360840809680732160000000000
30,25,17,4220392445180165420413754025890555426930688000000000000
31,23,18,3335373673028099198820945033700580208299704320000000000
32,21,19,2636517705503508397444940537734773684279705600000000000
33,19,20,2058146357146160760909827773166479898758348800000000000
34,17,21,1550424620156346524234777885639887177226649600000000000
35,15,22,1078597341621428156653971679053307010187264000000000000
36,13,23,630972586450856657983247527381756538388480000000000000
37,11,24,239446007165966116362873420647435814567936000000000000
