Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
43,29,0,6347872984322185596109181746110837098228390318620359600883200
44,27,1,6011101251813001603692145771535261272592996614300369625433600
45,25,2,5675548206050140159858813057035475535024873752770847607961600
46,23,3,5343231509382227357929395339495449535809224292499997472102400
47,21,4,5018617582928622945960819971695387643395439443455669248947200
48,19,5,4706535172266452688275328467456121901901988305298787251809280
49,17,6,4410254439870702996567946519267915718824018816891013910789120
50,15,7,4129988608084203463791961512149123622781708602046238971008000
51,13,8,3861811069689391649264957776386634353545385594723245039616000
52,11,9,3596848357880002252467512756278509530820086256014503992729600
53,9,10,3320738849104567144559965907691577129076411562621356789222400
54,7,11,3013829027885403575510793660279550023397689014165850555571200
55,5,12,2653528298155687645009527077188788138323798301955316060544000
56,3,13,2221507422573963374874230701914659312515445037149004489600000
57,1,14,1718361471504031069386949128792254470209079500501771270528000
