Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
11,57,4,272721823223543860482493398446111922728376426155212800
12,55,5,622338897355981666589749973145826831188437934872985600
13,53,6,918638766444635353773894006417683438965653272557977600
14,51,7,1128607759981653380373410395263533809322304847640985600
15,49,8,1263063227484599873090300029413545713746378977771520000
16,47,9,1343265554032396762270198081046764290907096699305984000
17,45,10,1388048106232131526583246293674528597294720393953280000
18,43,11,1410780882943366731081259072844076948963848584642560000
19,41,12,1419854751707344019623381352267631369447866269532160000
20,39,13,1420051007138093628495963079257162596347789993574400000
21,37,14,1413911905412023419287817574679239594803944551219200000
22,35,15,1402873891191714000126146075364840619389152182272000000
23,33,16,1388084815738659939982115668585803671125494988800000000
24,31,17,1370830820599181679656467863002794655751918452736000000
25,29,18,1352529494288071006231092949539468839149503283200000000
26,27,19,1334346662836228269094128394632972816498266112000000000
27,25,20,1316538233699828126567046039596849738252820480000000000
28,23,21,1297547132375118634434932313323670847586500608000000000
29,21,22,1272765752956824493122995376816203231063605248000000000
30,19,23,1232826014192055188317649895800482066923356160000000000
31,17,24,1161523159343303209714753875760526479065415680000000000
32,15,25,1034598006040716561530483245968699346550784000000000000
33,13,26,823976784090553349144782105691380280451072000000000000
34,11,27,519425647060437355946923410933910293209088000000000000
35,9,28,184033671048166525245113862153012323696640000000000000
