Blue-Blue,Blue-Red,Red-Red,Number Ways Achieve Max Districts {max_districts}
18,54,0,368718223014296696273244166221948370810715177202851015884800
19,52,1,215689068193001637412614210973760625646541554075772849356800
20,50,2,131933083167474295227387375255347226389161848986088987033600
21,48,3,84014286982967234840832195235309748900765162007782778470400
22,46,4,55457922525109638101872750712416368862631057341512252211200
23,44,5,37790632974959043114978846882530277826231980166695653376000
24,42,6,26478605099261318653227800769946748411534649652469170176000
25,40,7,19005968538628823911165885311342442443993255822544896000000
26,38,8,13928965480043486226081616398525667023104093322292531200000
27,36,9,10392861350114129513235583915541935179377582846315520000000
28,34,10,7876514987606964867909439592849202740205300651807744000000
29,32,11,6052916868527364518227766279027725943996034069043200000000
30,30,12,4710827979703687172612050911406665537586443669554880000000
31,28,13,3709680280639390834906902054296579086618791443548800000000
32,26,14,2953104574292941839417883058848570104558267709440000000000
33,24,15,2373086960204659176058576690966665708295562534553600000000
34,22,16,1920247056887738394328520961632522371239889226649600000000
35,20,17,1557687928078577160388561804841290122467608688640000000000
36,18,18,1257036332903397342942988429683088395567557308416000000000
37,16,19,996063381890714908460810984119445604826201190400000000000
38,14,20,757905879690216086165580743625854729733420648960000000000
39,12,21,532530299960473008987864749946348235155653452800000000000
40,10,22,321348541028272232031609985555957884333540556800000000000
41,8,23,143660901058493643422539414655982426410015232000000000000
42,6,24,33152515628883148482124480305226713786926592000000000000
