Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
370,782,0,True
371,780,1,True
372,778,2,True
373,776,3,True
374,774,4,True
375,772,5,True
376,770,6,True
377,768,7,True
378,766,8,True
379,764,9,True
380,762,10,True
381,760,11,True
382,758,12,True
383,756,13,True
384,754,14,True
385,752,15,True
386,750,16,True
387,748,17,True
388,746,18,True
389,744,19,True
390,742,20,True
391,740,21,True
392,738,22,True
393,736,23,True
394,734,24,True
395,732,25,True
396,730,26,True
397,728,27,True
398,726,28,True
399,724,29,True
400,722,30,True
401,720,31,True
402,718,32,True
403,716,33,True
404,714,34,True
405,712,35,True
406,710,36,True
407,708,37,True
408,706,38,True
409,704,39,True
410,702,40,True
411,700,41,True
412,698,42,True
413,696,43,True
414,694,44,True
415,692,45,True
416,690,46,True
417,688,47,True
418,686,48,True
419,684,49,True
420,682,50,True
421,680,51,True
422,678,52,True
423,676,53,True
424,674,54,True
425,672,55,True
426,670,56,True
427,668,57,True
428,666,58,True
429,664,59,True
430,662,60,True
431,660,61,True
432,658,62,True
433,656,63,True
434,654,64,True
435,652,65,True
436,650,66,True
437,648,67,True
438,646,68,True
439,644,69,True
440,642,70,True
441,640,71,True
442,638,72,True
443,636,73,True
444,634,74,True
445,632,75,True
446,630,76,True
447,628,77,True
448,626,78,True
449,624,79,True
450,622,80,True
451,620,81,True
452,618,82,True
453,616,83,True
454,614,84,True
455,612,85,True
456,610,86,True
457,608,87,True
458,606,88,True
459,604,89,True
460,602,90,True
461,600,91,True
462,598,92,True
463,596,93,True
464,594,94,True
465,592,95,True
466,590,96,True
467,588,97,True
468,586,98,True
469,584,99,True
470,582,100,True
471,580,101,True
472,578,102,True
473,576,103,True
474,574,104,True
475,572,105,True
476,570,106,True
477,568,107,True
478,566,108,True
479,564,109,True
480,562,110,True
481,560,111,True
482,558,112,True
483,556,113,True
484,554,114,True
485,552,115,True
486,550,116,True
487,548,117,True
488,546,118,True
489,544,119,True
490,542,120,True
491,540,121,True
492,538,122,True
493,536,123,True
494,534,124,True
495,532,125,True
496,530,126,True
497,528,127,True
498,526,128,True
499,524,129,True
500,522,130,True
501,520,131,True
502,518,132,True
503,516,133,True
504,514,134,True
505,512,135,True
506,510,136,True
507,508,137,True
508,506,138,True
509,504,139,True
510,502,140,True
511,500,141,True
512,498,142,True
513,496,143,True
514,494,144,True
515,492,145,True
516,490,146,True
517,488,147,True
518,486,148,True
519,484,149,True
520,482,150,True
521,480,151,True
522,478,152,True
523,476,153,True
524,474,154,True
525,472,155,True
526,470,156,True
527,468,157,True
528,466,158,True
529,464,159,True
530,462,160,True
531,460,161,True
532,458,162,True
533,456,163,True
534,454,164,True
535,452,165,True
536,450,166,True
537,448,167,True
538,446,168,True
539,444,169,True
540,442,170,True
541,440,171,True
542,438,172,True
543,436,173,True
544,434,174,True
545,432,175,True
546,430,176,True
547,428,177,True
548,426,178,True
549,424,179,True
550,422,180,True
551,420,181,True
552,418,182,True
553,416,183,True
554,414,184,True
555,412,185,True
556,410,186,True
557,408,187,True
558,406,188,True
559,404,189,True
560,402,190,True
561,400,191,True
562,398,192,True
563,396,193,True
564,394,194,True
565,392,195,True
566,390,196,True
567,388,197,True
568,386,198,True
569,384,199,True
570,382,200,True
571,380,201,True
572,378,202,True
573,376,203,True
574,374,204,True
575,372,205,True
576,370,206,True
577,368,207,True
578,366,208,True
579,364,209,True
580,362,210,True
581,360,211,True
582,358,212,True
583,356,213,True
584,354,214,True
585,352,215,True
586,350,216,True
587,348,217,True
588,346,218,True
589,344,219,True
590,342,220,True
591,340,221,True
592,338,222,True
593,336,223,True
594,334,224,True
595,332,225,True
596,330,226,True
597,328,227,True
598,326,228,True
599,324,229,True
600,322,230,True
601,320,231,True
602,318,232,True
603,316,233,True
604,314,234,True
605,312,235,True
606,310,236,True
607,308,237,True
608,306,238,True
609,304,239,True
610,302,240,True
611,300,241,True
612,298,242,True
613,296,243,True
614,294,244,True
615,292,245,True
616,290,246,True
617,288,247,True
618,286,248,True
619,284,249,True
620,282,250,True
621,280,251,True
622,278,252,True
623,276,253,True
624,274,254,True
625,272,255,True
626,270,256,True
627,268,257,True
628,266,258,True
629,264,259,True
630,262,260,True
631,260,261,True
632,258,262,True
633,256,263,True
634,254,264,True
635,252,265,True
636,250,266,True
637,248,267,True
638,246,268,True
639,244,269,True
640,242,270,True
641,240,271,True
642,238,272,True
643,236,273,True
644,234,274,True
645,232,275,True
646,230,276,True
647,228,277,True
648,226,278,True
649,224,279,True
650,222,280,True
651,220,281,True
652,218,282,True
653,216,283,True
654,214,284,True
655,212,285,True
656,210,286,True
657,208,287,True
658,206,288,True
659,204,289,True
660,202,290,True
661,200,291,True
662,198,292,True
663,196,293,True
664,194,294,True
665,192,295,True
666,190,296,True
667,188,297,True
668,186,298,True
669,184,299,True
670,182,300,True
671,180,301,True
672,178,302,True
673,176,303,True
674,174,304,True
675,172,305,True
676,170,306,True
677,168,307,True
678,166,308,True
679,164,309,True
680,162,310,True
681,160,311,True
682,158,312,True
683,156,313,True
684,154,314,True
685,152,315,True
686,150,316,True
687,148,317,True
688,146,318,True
689,144,319,True
690,142,320,True
691,140,321,True
692,138,322,True
693,136,323,True
694,134,324,True
695,132,325,True
696,130,326,True
697,128,327,True
698,126,328,True
699,124,329,True
700,122,330,True
701,120,331,True
702,118,332,True
703,116,333,True
704,114,334,True
705,112,335,True
706,110,336,True
707,108,337,True
708,106,338,True
709,104,339,True
710,102,340,True
711,100,341,True
712,98,342,True
713,96,343,True
714,94,344,True
715,92,345,True
716,90,346,True
717,88,347,True
718,86,348,True
719,84,349,True
720,82,350,True
721,80,351,True
722,78,352,True
723,76,353,True
724,74,354,True
725,72,355,True
726,70,356,True
727,68,357,True
728,66,358,True
729,64,359,True
730,62,360,True
731,60,361,True
732,58,362,True
733,56,363,True
734,54,364,True
735,52,365,True
736,50,366,True
737,48,367,True
738,46,368,True
739,44,369,True
740,42,370,True
741,40,371,True
742,38,372,True
743,36,373,True
744,34,374,True
745,32,375,True
746,30,376,True
747,28,377,True
748,26,378,True
749,24,379,True
750,22,380,True
751,20,381,True
752,18,382,True
753,16,383,True
754,14,384,True
755,12,385,True
756,10,386,True
757,8,387,True
758,6,388,True
759,4,389,True
760,2,390,True
761,0,391,True
