Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,851,717,False
1,849,718,False
2,847,719,False
3,845,720,False
4,843,721,False
5,841,722,False
6,839,723,False
7,837,724,False
8,835,725,False
9,833,726,False
10,831,727,False
11,829,728,False
12,827,729,False
13,825,730,False
14,823,731,False
15,821,732,False
16,819,733,False
17,817,734,False
18,815,735,False
19,813,736,False
20,811,737,False
21,809,738,False
22,807,739,False
23,805,740,False
24,803,741,False
25,801,742,False
26,799,743,False
27,797,744,False
28,795,745,False
29,793,746,True
30,791,747,True
31,789,748,True
32,787,749,True
33,785,750,True
34,783,751,True
35,781,752,True
36,779,753,True
37,777,754,True
38,775,755,True
39,773,756,True
40,771,757,True
41,769,758,True
42,767,759,True
43,765,760,True
44,763,761,True
45,761,762,True
46,759,763,True
47,757,764,True
48,755,765,True
49,753,766,True
50,751,767,True
51,749,768,True
52,747,769,True
53,745,770,True
54,743,771,True
55,741,772,True
56,739,773,True
57,737,774,True
58,735,775,True
59,733,776,True
60,731,777,True
61,729,778,True
62,727,779,True
63,725,780,True
64,723,781,True
65,721,782,True
66,719,783,True
67,717,784,True
68,715,785,True
69,713,786,True
70,711,787,True
71,709,788,True
72,707,789,True
73,705,790,True
74,703,791,True
75,701,792,True
76,699,793,True
77,697,794,True
78,695,795,True
79,693,796,True
80,691,797,True
81,689,798,True
82,687,799,True
83,685,800,True
84,683,801,True
85,681,802,True
86,679,803,True
87,677,804,True
88,675,805,True
89,673,806,True
90,671,807,True
91,669,808,True
92,667,809,True
93,665,810,True
94,663,811,True
95,661,812,True
96,659,813,True
97,657,814,True
98,655,815,True
99,653,816,True
100,651,817,True
101,649,818,True
102,647,819,True
103,645,820,True
104,643,821,True
105,641,822,True
106,639,823,True
107,637,824,True
108,635,825,True
109,633,826,True
110,631,827,True
111,629,828,True
112,627,829,True
113,625,830,True
114,623,831,True
115,621,832,True
116,619,833,True
117,617,834,True
118,615,835,True
119,613,836,True
120,611,837,True
121,609,838,True
122,607,839,True
123,605,840,True
124,603,841,True
125,601,842,True
126,599,843,True
127,597,844,True
128,595,845,True
129,593,846,True
130,591,847,True
131,589,848,True
132,587,849,True
133,585,850,True
134,583,851,True
135,581,852,True
136,579,853,True
137,577,854,True
138,575,855,True
139,573,856,True
140,571,857,True
141,569,858,True
142,567,859,True
143,565,860,True
144,563,861,True
145,561,862,True
146,559,863,True
147,557,864,True
148,555,865,True
149,553,866,True
150,551,867,True
151,549,868,True
152,547,869,True
153,545,870,True
154,543,871,True
155,541,872,True
156,539,873,True
157,537,874,True
158,535,875,True
159,533,876,True
160,531,877,True
161,529,878,True
162,527,879,True
163,525,880,True
164,523,881,True
165,521,882,True
166,519,883,True
167,517,884,True
168,515,885,True
169,513,886,True
170,511,887,True
171,509,888,True
172,507,889,True
173,505,890,True
174,503,891,True
175,501,892,True
176,499,893,True
177,497,894,True
178,495,895,True
179,493,896,True
180,491,897,True
181,489,898,True
182,487,899,True
183,485,900,True
184,483,901,True
185,481,902,True
186,479,903,True
187,477,904,True
188,475,905,True
189,473,906,True
190,471,907,True
191,469,908,True
192,467,909,True
193,465,910,True
194,463,911,True
195,461,912,True
196,459,913,True
197,457,914,True
198,455,915,True
199,453,916,True
200,451,917,True
201,449,918,True
202,447,919,True
203,445,920,True
204,443,921,True
205,441,922,True
206,439,923,True
207,437,924,True
208,435,925,True
209,433,926,True
210,431,927,True
211,429,928,True
212,427,929,True
213,425,930,True
214,423,931,True
215,421,932,True
216,419,933,True
217,417,934,True
218,415,935,True
219,413,936,True
220,411,937,True
221,409,938,True
222,407,939,True
223,405,940,True
224,403,941,True
225,401,942,True
226,399,943,True
227,397,944,True
228,395,945,True
229,393,946,True
230,391,947,True
231,389,948,True
232,387,949,True
233,385,950,True
234,383,951,True
235,381,952,True
236,379,953,True
237,377,954,True
238,375,955,True
239,373,956,True
240,371,957,True
241,369,958,True
242,367,959,True
243,365,960,True
244,363,961,True
245,361,962,True
246,359,963,True
247,357,964,True
248,355,965,True
249,353,966,True
250,351,967,True
251,349,968,True
252,347,969,True
253,345,970,True
254,343,971,True
255,341,972,True
256,339,973,True
257,337,974,True
258,335,975,True
259,333,976,True
260,331,977,True
261,329,978,True
262,327,979,True
263,325,980,True
264,323,981,True
265,321,982,True
266,319,983,True
267,317,984,True
268,315,985,True
269,313,986,True
270,311,987,True
271,309,988,True
272,307,989,True
273,305,990,True
274,303,991,True
275,301,992,True
276,299,993,True
277,297,994,True
278,295,995,True
279,293,996,True
280,291,997,True
281,289,998,True
282,287,999,True
283,285,1000,True
284,283,1001,True
285,281,1002,True
286,279,1003,True
287,277,1004,True
288,275,1005,True
289,273,1006,True
290,271,1007,True
291,269,1008,True
292,267,1009,True
293,265,1010,True
294,263,1011,True
295,261,1012,True
296,259,1013,True
297,257,1014,True
298,255,1015,True
299,253,1016,True
300,251,1017,True
301,249,1018,True
302,247,1019,True
303,245,1020,True
304,243,1021,True
305,241,1022,True
306,239,1023,True
307,237,1024,True
308,235,1025,True
309,233,1026,True
310,231,1027,True
311,229,1028,True
312,227,1029,True
313,225,1030,True
314,223,1031,True
315,221,1032,True
316,219,1033,True
317,217,1034,True
318,215,1035,True
319,213,1036,True
320,211,1037,True
321,209,1038,True
322,207,1039,True
323,205,1040,True
324,203,1041,True
325,201,1042,True
326,199,1043,True
327,197,1044,True
328,195,1045,True
329,193,1046,True
330,191,1047,True
331,189,1048,True
332,187,1049,True
333,185,1050,True
334,183,1051,True
335,181,1052,True
336,179,1053,True
337,177,1054,True
338,175,1055,True
339,173,1056,True
340,171,1057,True
