Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,981,587,False
1,979,588,False
2,977,589,False
3,975,590,False
4,973,591,False
5,971,592,False
6,969,593,False
7,967,594,False
8,965,595,False
9,963,596,False
10,961,597,False
11,959,598,False
12,957,599,False
13,955,600,False
14,953,601,False
15,951,602,False
16,949,603,False
17,947,604,False
18,945,605,False
19,943,606,False
20,941,607,False
21,939,608,False
22,937,609,False
23,935,610,False
24,933,611,False
25,931,612,False
26,929,613,False
27,927,614,False
28,925,615,False
29,923,616,False
30,921,617,False
31,919,618,False
32,917,619,False
33,915,620,True
34,913,621,True
35,911,622,True
36,909,623,True
37,907,624,True
38,905,625,True
39,903,626,True
40,901,627,True
41,899,628,True
42,897,629,True
43,895,630,True
44,893,631,True
45,891,632,True
46,889,633,True
47,887,634,True
48,885,635,True
49,883,636,True
50,881,637,True
51,879,638,True
52,877,639,True
53,875,640,True
54,873,641,True
55,871,642,True
56,869,643,True
57,867,644,True
58,865,645,True
59,863,646,True
60,861,647,True
61,859,648,True
62,857,649,True
63,855,650,True
64,853,651,True
65,851,652,True
66,849,653,True
67,847,654,True
68,845,655,True
69,843,656,True
70,841,657,True
71,839,658,True
72,837,659,True
73,835,660,True
74,833,661,True
75,831,662,True
76,829,663,True
77,827,664,True
78,825,665,True
79,823,666,True
80,821,667,True
81,819,668,True
82,817,669,True
83,815,670,True
84,813,671,True
85,811,672,True
86,809,673,True
87,807,674,True
88,805,675,True
89,803,676,True
90,801,677,True
91,799,678,True
92,797,679,True
93,795,680,True
94,793,681,True
95,791,682,True
96,789,683,True
97,787,684,True
98,785,685,True
99,783,686,True
100,781,687,True
101,779,688,True
102,777,689,True
103,775,690,True
104,773,691,True
105,771,692,True
106,769,693,True
107,767,694,True
108,765,695,True
109,763,696,True
110,761,697,True
111,759,698,True
112,757,699,True
113,755,700,True
114,753,701,True
115,751,702,True
116,749,703,True
117,747,704,True
118,745,705,True
119,743,706,True
120,741,707,True
121,739,708,True
122,737,709,True
123,735,710,True
124,733,711,True
125,731,712,True
126,729,713,True
127,727,714,True
128,725,715,True
129,723,716,True
130,721,717,True
131,719,718,True
132,717,719,True
133,715,720,True
134,713,721,True
135,711,722,True
136,709,723,True
137,707,724,True
138,705,725,True
139,703,726,True
140,701,727,True
141,699,728,True
142,697,729,True
143,695,730,True
144,693,731,True
145,691,732,True
146,689,733,True
147,687,734,True
148,685,735,True
149,683,736,True
150,681,737,True
151,679,738,True
152,677,739,True
153,675,740,True
154,673,741,True
155,671,742,True
156,669,743,True
157,667,744,True
158,665,745,True
159,663,746,True
160,661,747,True
161,659,748,True
162,657,749,True
163,655,750,True
164,653,751,True
165,651,752,True
166,649,753,True
167,647,754,True
168,645,755,True
169,643,756,True
170,641,757,True
171,639,758,True
172,637,759,True
173,635,760,True
174,633,761,True
175,631,762,True
176,629,763,True
177,627,764,True
178,625,765,True
179,623,766,True
180,621,767,True
181,619,768,True
182,617,769,True
183,615,770,True
184,613,771,True
185,611,772,True
186,609,773,True
187,607,774,True
188,605,775,True
189,603,776,True
190,601,777,True
191,599,778,True
192,597,779,True
193,595,780,True
194,593,781,True
195,591,782,True
196,589,783,True
197,587,784,True
198,585,785,True
199,583,786,True
200,581,787,True
201,579,788,True
202,577,789,True
203,575,790,True
204,573,791,True
205,571,792,True
206,569,793,True
207,567,794,True
208,565,795,True
209,563,796,True
210,561,797,True
211,559,798,True
212,557,799,True
213,555,800,True
214,553,801,True
215,551,802,True
216,549,803,True
217,547,804,True
218,545,805,True
219,543,806,True
220,541,807,True
221,539,808,True
222,537,809,True
223,535,810,True
224,533,811,True
225,531,812,True
226,529,813,True
227,527,814,True
228,525,815,True
229,523,816,True
230,521,817,True
231,519,818,True
232,517,819,True
233,515,820,True
234,513,821,True
235,511,822,True
236,509,823,True
237,507,824,True
238,505,825,True
239,503,826,True
240,501,827,True
241,499,828,True
242,497,829,True
243,495,830,True
244,493,831,True
245,491,832,True
246,489,833,True
247,487,834,True
248,485,835,True
249,483,836,True
250,481,837,True
251,479,838,True
252,477,839,True
253,475,840,True
254,473,841,True
255,471,842,True
256,469,843,True
257,467,844,True
258,465,845,True
259,463,846,True
260,461,847,True
261,459,848,True
262,457,849,True
263,455,850,True
264,453,851,True
265,451,852,True
266,449,853,True
267,447,854,True
268,445,855,True
269,443,856,True
270,441,857,True
271,439,858,True
272,437,859,True
273,435,860,True
274,433,861,True
275,431,862,True
276,429,863,True
277,427,864,True
278,425,865,True
279,423,866,True
280,421,867,True
281,419,868,True
282,417,869,True
283,415,870,True
284,413,871,True
285,411,872,True
286,409,873,True
287,407,874,True
288,405,875,True
289,403,876,True
290,401,877,True
291,399,878,True
292,397,879,True
293,395,880,True
294,393,881,True
295,391,882,True
296,389,883,True
297,387,884,True
298,385,885,True
299,383,886,True
300,381,887,True
301,379,888,True
302,377,889,True
303,375,890,True
304,373,891,True
305,371,892,True
306,369,893,True
307,367,894,True
308,365,895,True
309,363,896,True
310,361,897,True
311,359,898,True
312,357,899,True
313,355,900,True
314,353,901,True
315,351,902,True
316,349,903,True
317,347,904,True
318,345,905,True
319,343,906,True
320,341,907,True
321,339,908,True
322,337,909,True
323,335,910,True
324,333,911,True
325,331,912,True
326,329,913,True
327,327,914,True
328,325,915,True
329,323,916,True
330,321,917,True
331,319,918,True
332,317,919,True
333,315,920,True
334,313,921,True
335,311,922,True
336,309,923,True
337,307,924,True
338,305,925,True
339,303,926,True
340,301,927,True
341,299,928,True
342,297,929,True
343,295,930,True
344,293,931,True
345,291,932,True
346,289,933,True
347,287,934,True
348,285,935,True
349,283,936,True
350,281,937,True
351,279,938,True
352,277,939,True
353,275,940,True
354,273,941,True
355,271,942,True
356,269,943,True
357,267,944,True
358,265,945,True
359,263,946,True
360,261,947,True
361,259,948,True
362,257,949,True
363,255,950,True
364,253,951,True
365,251,952,True
366,249,953,True
367,247,954,True
368,245,955,True
369,243,956,True
370,241,957,True
371,239,958,True
372,237,959,True
373,235,960,True
374,233,961,True
375,231,962,True
376,229,963,True
377,227,964,True
378,225,965,True
379,223,966,True
380,221,967,True
381,219,968,True
382,217,969,True
383,215,970,True
384,213,971,True
385,211,972,True
386,209,973,True
387,207,974,True
388,205,975,True
389,203,976,True
390,201,977,True
391,199,978,True
