Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,139,1543,False
1,137,1544,False
2,135,1545,False
3,133,1546,False
4,131,1547,True
5,129,1548,True
6,127,1549,True
7,125,1550,True
8,123,1551,True
9,121,1552,True
10,119,1553,True
11,117,1554,True
12,115,1555,True
13,113,1556,True
14,111,1557,True
15,109,1558,True
16,107,1559,True
17,105,1560,True
18,103,1561,True
19,101,1562,True
20,99,1563,True
21,97,1564,True
22,95,1565,True
23,93,1566,True
24,91,1567,True
25,89,1568,True
26,87,1569,True
27,85,1570,True
28,83,1571,True
29,81,1572,True
30,79,1573,True
31,77,1574,True
32,75,1575,True
33,73,1576,True
34,71,1577,True
35,69,1578,True
36,67,1579,True
37,65,1580,True
38,63,1581,True
39,61,1582,True
40,59,1583,True
41,57,1584,True
42,55,1585,True
43,53,1586,True
44,51,1587,True
45,49,1588,True
46,47,1589,True
47,45,1590,True
48,43,1591,True
49,41,1592,True
50,39,1593,True
51,37,1594,True
52,35,1595,True
53,33,1596,True
54,31,1597,True
55,29,1598,True
56,27,1599,True
57,25,1600,True
58,23,1601,True
59,21,1602,True
60,19,1603,True
61,17,1604,True
62,15,1605,True
63,13,1606,True
64,11,1607,True
65,9,1608,True
66,7,1609,True
67,5,1610,True
68,3,1611,True
69,1,1612,True
