Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,316,1366,False
1,314,1367,False
2,312,1368,False
3,310,1369,False
4,308,1370,False
5,306,1371,False
6,304,1372,False
7,302,1373,False
8,300,1374,False
9,298,1375,False
10,296,1376,True
11,294,1377,True
12,292,1378,True
13,290,1379,True
14,288,1380,True
15,286,1381,True
16,284,1382,True
17,282,1383,True
18,280,1384,True
19,278,1385,True
20,276,1386,True
21,274,1387,True
22,272,1388,True
23,270,1389,True
24,268,1390,True
25,266,1391,True
26,264,1392,True
27,262,1393,True
28,260,1394,True
29,258,1395,True
30,256,1396,True
31,254,1397,True
32,252,1398,True
33,250,1399,True
34,248,1400,True
35,246,1401,True
36,244,1402,True
37,242,1403,True
38,240,1404,True
39,238,1405,True
40,236,1406,True
41,234,1407,True
42,232,1408,True
43,230,1409,True
44,228,1410,True
45,226,1411,True
46,224,1412,True
47,222,1413,True
48,220,1414,True
49,218,1415,True
50,216,1416,True
51,214,1417,True
52,212,1418,True
53,210,1419,True
54,208,1420,True
55,206,1421,True
56,204,1422,True
57,202,1423,True
58,200,1424,True
59,198,1425,True
60,196,1426,True
61,194,1427,True
62,192,1428,True
63,190,1429,True
64,188,1430,True
65,186,1431,True
66,184,1432,True
67,182,1433,True
68,180,1434,True
69,178,1435,True
70,176,1436,True
71,174,1437,True
72,172,1438,True
73,170,1439,True
74,168,1440,True
75,166,1441,True
76,164,1442,True
77,162,1443,True
78,160,1444,True
79,158,1445,True
80,156,1446,True
81,154,1447,True
82,152,1448,True
83,150,1449,True
84,148,1450,True
85,146,1451,True
86,144,1452,True
87,142,1453,True
88,140,1454,True
89,138,1455,True
90,136,1456,True
91,134,1457,True
92,132,1458,True
93,130,1459,True
94,128,1460,True
95,126,1461,True
96,124,1462,True
97,122,1463,True
98,120,1464,True
99,118,1465,True
100,116,1466,True
101,114,1467,True
102,112,1468,True
103,110,1469,True
104,108,1470,True
105,106,1471,True
106,104,1472,True
107,102,1473,True
108,100,1474,True
109,98,1475,True
110,96,1476,True
111,94,1477,True
112,92,1478,True
113,90,1479,True
114,88,1480,True
115,86,1481,True
116,84,1482,True
117,82,1483,True
118,80,1484,True
119,78,1485,True
120,76,1486,True
121,74,1487,True
122,72,1488,True
123,70,1489,True
124,68,1490,True
125,66,1491,True
126,64,1492,True
127,62,1493,True
128,60,1494,True
129,58,1495,True
130,56,1496,True
131,54,1497,True
132,52,1498,True
133,50,1499,True
134,48,1500,True
135,46,1501,True
136,44,1502,True
137,42,1503,True
138,40,1504,True
139,38,1505,True
140,36,1506,True
141,34,1507,True
142,32,1508,True
143,30,1509,True
144,28,1510,True
145,26,1511,True
146,24,1512,True
147,22,1513,True
148,20,1514,True
149,18,1515,True
150,16,1516,True
151,14,1517,True
152,12,1518,True
153,10,1519,True
154,8,1520,True
155,6,1521,True
156,4,1522,True
157,2,1523,True
158,0,1524,True
