Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
515,285,0,True
516,283,1,True
517,281,2,True
518,279,3,True
519,277,4,True
520,275,5,True
521,273,6,True
522,271,7,True
523,269,8,True
524,267,9,True
525,265,10,True
526,263,11,True
527,261,12,True
528,259,13,True
529,257,14,True
530,255,15,True
531,253,16,True
532,251,17,True
533,249,18,True
534,247,19,True
535,245,20,True
536,243,21,True
537,241,22,True
538,239,23,True
539,237,24,True
540,235,25,True
541,233,26,True
542,231,27,True
543,229,28,True
544,227,29,True
545,225,30,True
546,223,31,True
547,221,32,True
548,219,33,True
549,217,34,True
550,215,35,True
551,213,36,True
552,211,37,True
553,209,38,True
554,207,39,True
555,205,40,True
556,203,41,True
557,201,42,True
558,199,43,True
559,197,44,True
560,195,45,True
561,193,46,True
562,191,47,True
563,189,48,True
564,187,49,True
565,185,50,True
566,183,51,True
567,181,52,True
568,179,53,True
569,177,54,True
570,175,55,True
571,173,56,True
572,171,57,True
573,169,58,True
574,167,59,True
575,165,60,True
576,163,61,True
577,161,62,True
578,159,63,True
579,157,64,True
580,155,65,True
581,153,66,True
582,151,67,True
583,149,68,True
584,147,69,True
585,145,70,True
586,143,71,True
587,141,72,True
588,139,73,True
589,137,74,True
590,135,75,True
591,133,76,True
592,131,77,True
593,129,78,True
594,127,79,True
595,125,80,True
596,123,81,True
597,121,82,True
598,119,83,True
599,117,84,True
600,115,85,True
601,113,86,True
602,111,87,True
603,109,88,True
604,107,89,True
605,105,90,True
606,103,91,True
607,101,92,True
608,99,93,True
609,97,94,True
610,95,95,True
611,93,96,True
612,91,97,True
613,89,98,True
614,87,99,True
615,85,100,True
616,83,101,True
617,81,102,True
618,79,103,True
619,77,104,True
620,75,105,True
621,73,106,True
622,71,107,True
623,69,108,True
624,67,109,True
625,65,110,True
626,63,111,True
627,61,112,True
628,59,113,True
629,57,114,True
630,55,115,True
631,53,116,True
632,51,117,True
633,49,118,True
634,47,119,True
635,45,120,True
636,43,121,True
637,41,122,True
638,39,123,True
639,37,124,True
640,35,125,True
641,33,126,True
642,31,127,True
643,29,128,True
644,27,129,True
645,25,130,True
646,23,131,True
647,21,132,True
648,19,133,True
649,17,134,True
650,15,135,True
651,13,136,True
652,11,137,True
653,9,138,True
654,7,139,True
655,5,140,True
656,3,141,True
657,1,142,True
