Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
1359,99,0,True
1360,97,1,True
1361,95,2,True
1362,93,3,True
1363,91,4,True
1364,89,5,True
1365,87,6,True
1366,85,7,True
1367,83,8,True
1368,81,9,True
1369,79,10,True
1370,77,11,True
1371,75,12,True
1372,73,13,True
1373,71,14,True
1374,69,15,True
1375,67,16,True
1376,65,17,True
1377,63,18,True
1378,61,19,True
1379,59,20,True
1380,57,21,True
1381,55,22,True
1382,53,23,True
1383,51,24,True
1384,49,25,True
1385,47,26,True
1386,45,27,True
1387,43,28,True
1388,41,29,True
1389,39,30,True
1390,37,31,True
1391,35,32,True
1392,33,33,True
1393,31,34,True
1394,29,35,True
1395,27,36,True
1396,25,37,True
1397,23,38,True
1398,21,39,True
1399,19,40,True
1400,17,41,True
1401,15,42,True
1402,13,43,True
1403,11,44,True
1404,9,45,True
1405,7,46,True
1406,5,47,True
1407,3,48,True
1408,1,49,True
