Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
689,279,0,True
690,277,1,True
691,275,2,True
692,273,3,True
693,271,4,True
694,269,5,True
695,267,6,True
696,265,7,True
697,263,8,True
698,261,9,True
699,259,10,True
700,257,11,True
701,255,12,True
702,253,13,True
703,251,14,True
704,249,15,True
705,247,16,True
706,245,17,True
707,243,18,True
708,241,19,True
709,239,20,True
710,237,21,True
711,235,22,True
712,233,23,True
713,231,24,True
714,229,25,True
715,227,26,True
716,225,27,True
717,223,28,True
718,221,29,True
719,219,30,True
720,217,31,True
721,215,32,True
722,213,33,True
723,211,34,True
724,209,35,True
725,207,36,True
726,205,37,True
727,203,38,True
728,201,39,True
729,199,40,True
730,197,41,True
731,195,42,True
732,193,43,True
733,191,44,True
734,189,45,True
735,187,46,True
736,185,47,True
737,183,48,True
738,181,49,True
739,179,50,True
740,177,51,True
741,175,52,True
742,173,53,True
743,171,54,True
744,169,55,True
745,167,56,True
746,165,57,True
747,163,58,True
748,161,59,True
749,159,60,True
750,157,61,True
751,155,62,True
752,153,63,True
753,151,64,True
754,149,65,True
755,147,66,True
756,145,67,True
757,143,68,True
758,141,69,True
759,139,70,True
760,137,71,True
761,135,72,True
762,133,73,True
763,131,74,True
764,129,75,True
765,127,76,True
766,125,77,True
767,123,78,True
768,121,79,True
769,119,80,True
770,117,81,True
771,115,82,True
772,113,83,True
773,111,84,True
774,109,85,True
775,107,86,True
776,105,87,True
777,103,88,True
778,101,89,True
779,99,90,True
780,97,91,True
781,95,92,True
782,93,93,True
783,91,94,True
784,89,95,True
785,87,96,True
786,85,97,True
787,83,98,True
788,81,99,True
789,79,100,True
790,77,101,True
791,75,102,True
792,73,103,True
793,71,104,True
794,69,105,True
795,67,106,True
796,65,107,True
797,63,108,True
798,61,109,True
799,59,110,True
800,57,111,True
801,55,112,True
802,53,113,True
803,51,114,True
804,49,115,True
805,47,116,True
806,45,117,True
807,43,118,True
808,41,119,True
809,39,120,True
810,37,121,True
811,35,122,True
812,33,123,True
813,31,124,True
814,29,125,True
815,27,126,True
816,25,127,True
817,23,128,True
818,21,129,True
819,19,130,True
820,17,131,True
821,15,132,True
822,13,133,True
823,11,134,True
824,9,135,True
825,7,136,True
826,5,137,True
827,3,138,True
828,1,139,True
