Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
68,654,0,True
69,652,1,True
70,650,2,True
71,648,3,True
72,646,4,True
73,644,5,True
74,642,6,True
75,640,7,True
76,638,8,True
77,636,9,True
78,634,10,True
79,632,11,True
80,630,12,True
81,628,13,True
82,626,14,True
83,624,15,True
84,622,16,True
85,620,17,True
86,618,18,True
87,616,19,True
88,614,20,True
89,612,21,True
90,610,22,True
91,608,23,True
92,606,24,True
93,604,25,True
94,602,26,True
95,600,27,True
96,598,28,True
97,596,29,True
98,594,30,True
99,592,31,True
100,590,32,True
101,588,33,True
102,586,34,True
103,584,35,True
104,582,36,True
105,580,37,True
106,578,38,True
107,576,39,True
108,574,40,True
109,572,41,True
110,570,42,True
111,568,43,True
112,566,44,True
113,564,45,True
114,562,46,True
115,560,47,True
116,558,48,True
117,556,49,True
118,554,50,True
119,552,51,True
120,550,52,True
121,548,53,True
122,546,54,True
123,544,55,True
124,542,56,True
125,540,57,True
126,538,58,True
127,536,59,True
128,534,60,True
129,532,61,True
130,530,62,True
131,528,63,True
132,526,64,True
133,524,65,True
134,522,66,True
135,520,67,True
136,518,68,True
137,516,69,True
138,514,70,True
139,512,71,True
140,510,72,True
141,508,73,True
142,506,74,True
143,504,75,True
144,502,76,True
145,500,77,True
146,498,78,True
147,496,79,True
148,494,80,True
149,492,81,True
150,490,82,True
151,488,83,True
152,486,84,True
153,484,85,True
154,482,86,True
155,480,87,True
156,478,88,True
157,476,89,True
158,474,90,True
159,472,91,True
160,470,92,True
161,468,93,True
162,466,94,True
163,464,95,True
164,462,96,True
165,460,97,True
166,458,98,True
167,456,99,True
168,454,100,True
169,452,101,True
170,450,102,True
171,448,103,True
172,446,104,True
173,444,105,True
174,442,106,True
175,440,107,True
176,438,108,True
177,436,109,True
178,434,110,True
179,432,111,True
180,430,112,True
181,428,113,True
182,426,114,True
183,424,115,True
184,422,116,True
185,420,117,True
186,418,118,True
187,416,119,True
188,414,120,True
189,412,121,True
190,410,122,True
191,408,123,True
192,406,124,True
193,404,125,True
194,402,126,True
195,400,127,True
196,398,128,True
197,396,129,True
198,394,130,True
199,392,131,True
200,390,132,True
201,388,133,True
202,386,134,True
203,384,135,True
204,382,136,True
205,380,137,True
206,378,138,True
207,376,139,True
208,374,140,True
209,372,141,True
210,370,142,True
211,368,143,True
212,366,144,True
213,364,145,True
214,362,146,True
215,360,147,True
216,358,148,True
217,356,149,True
218,354,150,True
219,352,151,True
220,350,152,True
221,348,153,True
222,346,154,True
223,344,155,True
224,342,156,True
225,340,157,True
226,338,158,True
227,336,159,True
228,334,160,True
229,332,161,True
230,330,162,True
231,328,163,True
232,326,164,True
233,324,165,True
234,322,166,True
235,320,167,True
236,318,168,True
237,316,169,True
238,314,170,True
239,312,171,True
240,310,172,True
241,308,173,True
242,306,174,True
243,304,175,True
244,302,176,True
245,300,177,True
246,298,178,True
247,296,179,True
248,294,180,True
249,292,181,True
250,290,182,True
251,288,183,True
252,286,184,True
253,284,185,True
254,282,186,True
255,280,187,True
256,278,188,True
257,276,189,True
258,274,190,True
259,272,191,True
260,270,192,True
261,268,193,True
262,266,194,True
263,264,195,True
264,262,196,True
265,260,197,True
266,258,198,True
267,256,199,True
268,254,200,True
269,252,201,True
270,250,202,True
271,248,203,True
272,246,204,True
273,244,205,True
274,242,206,True
275,240,207,True
276,238,208,True
277,236,209,True
278,234,210,True
279,232,211,True
280,230,212,True
281,228,213,True
282,226,214,True
283,224,215,True
284,222,216,True
285,220,217,True
286,218,218,True
287,216,219,True
288,214,220,True
289,212,221,True
290,210,222,True
291,208,223,True
292,206,224,True
293,204,225,True
294,202,226,True
295,200,227,True
296,198,228,True
297,196,229,True
298,194,230,True
299,192,231,True
300,190,232,True
301,188,233,True
302,186,234,True
303,184,235,True
304,182,236,True
305,180,237,True
306,178,238,True
307,176,239,True
308,174,240,True
309,172,241,True
310,170,242,True
311,168,243,True
312,166,244,True
313,164,245,True
314,162,246,True
315,160,247,True
316,158,248,True
317,156,249,True
318,154,250,True
319,152,251,True
320,150,252,True
321,148,253,True
322,146,254,True
323,144,255,True
324,142,256,True
325,140,257,True
326,138,258,True
327,136,259,True
328,134,260,True
329,132,261,True
330,130,262,True
331,128,263,True
332,126,264,True
333,124,265,True
334,122,266,True
335,120,267,True
336,118,268,True
337,116,269,True
338,114,270,True
339,112,271,True
340,110,272,True
341,108,273,True
342,106,274,True
343,104,275,True
344,102,276,True
345,100,277,True
346,98,278,True
347,96,279,True
348,94,280,True
349,92,281,True
350,90,282,True
351,88,283,True
352,86,284,True
353,84,285,True
354,82,286,True
355,80,287,True
356,78,288,True
357,76,289,True
358,74,290,True
359,72,291,True
360,70,292,True
361,68,293,True
362,66,294,True
363,64,295,True
364,62,296,True
365,60,297,True
366,58,298,True
367,56,299,True
368,54,300,True
369,52,301,True
370,50,302,True
371,48,303,True
372,46,304,True
373,44,305,True
374,42,306,True
375,40,307,True
376,38,308,True
377,36,309,True
378,34,310,True
379,32,311,True
380,30,312,True
381,28,313,True
382,26,314,True
383,24,315,True
384,22,316,True
385,20,317,True
386,18,318,True
387,16,319,True
388,14,320,True
389,12,321,True
390,10,322,True
391,8,323,True
392,6,324,True
393,4,325,True
394,2,326,True
395,0,327,True
