Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,105,617,False
1,103,618,False
2,101,619,False
3,99,620,False
4,97,621,False
5,95,622,True
6,93,623,True
7,91,624,True
8,89,625,True
9,87,626,True
10,85,627,True
11,83,628,True
12,81,629,True
13,79,630,True
14,77,631,True
15,75,632,True
16,73,633,True
17,71,634,True
18,69,635,True
19,67,636,True
20,65,637,True
21,63,638,True
22,61,639,True
23,59,640,True
24,57,641,True
25,55,642,True
26,53,643,True
27,51,644,True
28,49,645,True
29,47,646,True
30,45,647,True
31,43,648,True
32,41,649,True
33,39,650,True
34,37,651,True
35,35,652,True
36,33,653,True
37,31,654,True
38,29,655,True
39,27,656,True
40,25,657,True
41,23,658,True
42,21,659,True
43,19,660,True
44,17,661,True
45,15,662,True
46,13,663,True
47,11,664,True
48,9,665,True
49,7,666,True
50,5,667,True
51,3,668,True
52,1,669,True
