Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
12,60,0,True
13,58,1,True
14,56,2,True
15,54,3,True
16,52,4,True
17,50,5,True
18,48,6,True
19,46,7,True
20,44,8,True
21,42,9,True
22,40,10,True
23,38,11,True
24,36,12,True
25,34,13,True
26,32,14,True
27,30,15,True
28,28,16,True
29,26,17,True
30,24,18,True
31,22,19,True
32,20,20,True
33,18,21,True
34,16,22,True
35,14,23,True
36,12,24,True
37,10,25,False
38,8,26,False
39,6,27,False
40,4,28,False
41,2,29,False
42,0,30,False
