B3,B2,B1,B0,Max Districts (12) Achievable?
0,38,10,0,True
0,39,8,1,False
0,40,6,2,False
0,41,4,3,False
0,42,2,4,False
0,43,0,5,False
1,36,11,0,True
1,37,9,1,True
1,38,7,2,False
1,39,5,3,False
1,40,3,4,False
1,41,1,5,False
2,34,12,0,True
2,35,10,1,True
2,36,8,2,True
2,37,6,3,False
2,38,4,4,False
2,39,2,5,False
2,40,0,6,False
3,32,13,0,True
3,33,11,1,True
3,34,9,2,True
3,35,7,3,True
3,36,5,4,False
3,37,3,5,False
3,38,1,6,False
4,30,14,0,True
4,31,12,1,True
4,32,10,2,True
4,33,8,3,True
4,34,6,4,True
4,35,4,5,False
4,36,2,6,False
4,37,0,7,False
5,28,15,0,True
5,29,13,1,True
5,30,11,2,True
5,31,9,3,True
5,32,7,4,True
5,33,5,5,True
5,34,3,6,False
5,35,1,7,False
6,26,16,0,True
6,27,14,1,True
6,28,12,2,True
6,29,10,3,True
6,30,8,4,True
6,31,6,5,True
6,32,4,6,True
6,33,2,7,False
6,34,0,8,False
7,24,17,0,True
7,25,15,1,True
7,26,13,2,True
7,27,11,3,True
7,28,9,4,True
7,29,7,5,True
7,30,5,6,True
7,31,3,7,True
7,32,1,8,False
8,22,18,0,True
8,23,16,1,True
8,24,14,2,True
8,25,12,3,True
8,26,10,4,True
8,27,8,5,True
8,28,6,6,True
8,29,4,7,True
8,30,2,8,True
8,31,0,9,False
9,20,19,0,True
9,21,17,1,True
9,22,15,2,True
9,23,13,3,True
9,24,11,4,True
9,25,9,5,True
9,26,7,6,True
9,27,5,7,True
9,28,3,8,True
9,29,1,9,True
10,18,20,0,True
10,19,18,1,True
10,20,16,2,True
10,21,14,3,True
10,22,12,4,True
10,23,10,5,True
10,24,8,6,True
10,25,6,7,True
10,26,4,8,True
10,27,2,9,True
10,28,0,10,True
11,16,21,0,True
11,17,19,1,True
11,18,17,2,True
11,19,15,3,True
11,20,13,4,True
11,21,11,5,True
11,22,9,6,True
11,23,7,7,True
11,24,5,8,True
11,25,3,9,True
11,26,1,10,True
12,14,22,0,True
12,15,20,1,True
12,16,18,2,True
12,17,16,3,True
12,18,14,4,True
12,19,12,5,True
12,20,10,6,True
12,21,8,7,True
12,22,6,8,True
12,23,4,9,True
12,24,2,10,True
12,25,0,11,True
13,12,23,0,True
13,13,21,1,True
13,14,19,2,True
13,15,17,3,True
13,16,15,4,True
13,17,13,5,True
13,18,11,6,True
13,19,9,7,True
13,20,7,8,True
13,21,5,9,True
13,22,3,10,True
13,23,1,11,True
14,10,24,0,True
14,11,22,1,True
14,12,20,2,True
14,13,18,3,True
14,14,16,4,True
14,15,14,5,True
14,16,12,6,True
14,17,10,7,True
14,18,8,8,True
14,19,6,9,True
14,20,4,10,True
14,21,2,11,True
14,22,0,12,True
15,8,25,0,False
15,9,23,1,True
15,10,21,2,True
15,11,19,3,True
15,12,17,4,True
15,13,15,5,True
15,14,13,6,True
15,15,11,7,True
15,16,9,8,True
15,17,7,9,True
15,18,5,10,True
15,19,3,11,True
15,20,1,12,True
16,6,26,0,False
16,7,24,1,False
16,8,22,2,True
16,9,20,3,True
16,10,18,4,True
16,11,16,5,True
16,12,14,6,True
16,13,12,7,True
16,14,10,8,True
16,15,8,9,True
16,16,6,10,True
16,17,4,11,True
16,18,2,12,True
16,19,0,13,False
17,4,27,0,False
17,5,25,1,False
17,6,23,2,False
17,7,21,3,True
17,8,19,4,True
17,9,17,5,True
17,10,15,6,True
17,11,13,7,True
17,12,11,8,True
17,13,9,9,True
17,14,7,10,True
17,15,5,11,True
17,16,3,12,True
17,17,1,13,False
18,2,28,0,False
18,3,26,1,False
18,4,24,2,False
18,5,22,3,False
18,6,20,4,True
18,7,18,5,True
18,8,16,6,True
18,9,14,7,True
18,10,12,8,True
18,11,10,9,True
18,12,8,10,True
18,13,6,11,True
18,14,4,12,True
18,15,2,13,False
18,16,0,14,False
19,0,29,0,False
19,1,27,1,False
19,2,25,2,False
19,3,23,3,False
19,4,21,4,False
19,5,19,5,True
19,6,17,6,True
19,7,15,7,True
19,8,13,8,True
19,9,11,9,True
19,10,9,10,True
19,11,7,11,True
