Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
2,70,0,False
3,68,1,False
4,66,2,False
5,64,3,False
6,62,4,False
7,60,5,False
8,58,6,False
9,56,7,False
10,54,8,True
11,52,9,True
12,50,10,True
13,48,11,True
14,46,12,True
15,44,13,True
16,42,14,True
17,40,15,True
18,38,16,True
19,36,17,True
20,34,18,True
21,32,19,True
22,30,20,True
23,28,21,True
24,26,22,True
25,24,23,True
26,22,24,True
27,20,25,True
28,18,26,True
29,16,27,True
30,14,28,True
31,12,29,True
32,10,30,True
33,8,31,True
34,6,32,True
35,4,33,False
36,2,34,False
37,0,35,False
