B3,B2,B1,B0,Max Districts (8) Achievable?
0,10,38,0,False
0,11,36,1,False
0,12,34,2,False
0,13,32,3,False
0,14,30,4,False
0,15,28,5,False
0,16,26,6,False
0,17,24,7,False
0,18,22,8,False
0,19,20,9,False
0,20,18,10,False
0,21,16,11,False
0,22,14,12,False
0,23,12,13,False
0,24,10,14,True
0,25,8,15,True
0,26,6,16,True
0,27,4,17,False
0,28,2,18,False
0,29,0,19,False
1,8,39,0,False
1,9,37,1,False
1,10,35,2,False
1,11,33,3,False
1,12,31,4,False
1,13,29,5,False
1,14,27,6,False
1,15,25,7,False
1,16,23,8,False
1,17,21,9,False
1,18,19,10,False
1,19,17,11,False
1,20,15,12,False
1,21,13,13,False
1,22,11,14,True
1,23,9,15,True
1,24,7,16,True
1,25,5,17,True
1,26,3,18,False
1,27,1,19,False
2,6,40,0,False
2,7,38,1,False
2,8,36,2,False
2,9,34,3,False
2,10,32,4,False
2,11,30,5,False
2,12,28,6,False
2,13,26,7,False
2,14,24,8,False
2,15,22,9,False
2,16,20,10,False
2,17,18,11,False
2,18,16,12,False
2,19,14,13,False
2,20,12,14,True
2,21,10,15,True
2,22,8,16,True
2,23,6,17,True
2,24,4,18,True
2,25,2,19,False
2,26,0,20,False
3,4,41,0,False
3,5,39,1,False
3,6,37,2,False
3,7,35,3,False
3,8,33,4,False
3,9,31,5,False
3,10,29,6,False
3,11,27,7,False
3,12,25,8,False
3,13,23,9,False
3,14,21,10,False
3,15,19,11,False
3,16,17,12,False
3,17,15,13,False
3,18,13,14,True
3,19,11,15,True
3,20,9,16,True
3,21,7,17,True
3,22,5,18,True
3,23,3,19,True
3,24,1,20,False
4,2,42,0,False
4,3,40,1,False
4,4,38,2,False
4,5,36,3,False
4,6,34,4,False
4,7,32,5,False
4,8,30,6,False
4,9,28,7,False
4,10,26,8,False
4,11,24,9,False
4,12,22,10,False
4,13,20,11,False
4,14,18,12,False
4,15,16,13,False
4,16,14,14,True
4,17,12,15,True
4,18,10,16,True
4,19,8,17,True
4,20,6,18,True
4,21,4,19,True
4,22,2,20,True
4,23,0,21,False
5,0,43,0,False
5,1,41,1,False
5,2,39,2,False
5,3,37,3,False
5,4,35,4,False
5,5,33,5,False
5,6,31,6,False
5,7,29,7,False
5,8,27,8,False
5,9,25,9,False
5,10,23,10,False
5,11,21,11,False
5,12,19,12,False
5,13,17,13,False
5,14,15,14,True
5,15,13,15,True
5,16,11,16,True
5,17,9,17,True
5,18,7,18,True
5,19,5,19,True
5,20,3,20,True
5,21,1,21,True
6,0,40,2,False
6,1,38,3,False
6,2,36,4,False
6,3,34,5,False
6,4,32,6,False
6,5,30,7,False
6,6,28,8,False
6,7,26,9,False
6,8,24,10,False
6,9,22,11,False
6,10,20,12,False
6,11,18,13,False
6,12,16,14,True
6,13,14,15,True
6,14,12,16,True
6,15,10,17,True
6,16,8,18,True
6,17,6,19,True
6,18,4,20,True
6,19,2,21,True
6,20,0,22,True
7,0,37,4,False
7,1,35,5,False
7,2,33,6,False
7,3,31,7,False
7,4,29,8,False
7,5,27,9,False
7,6,25,10,False
7,7,23,11,False
7,8,21,12,False
7,9,19,13,False
7,10,17,14,True
7,11,15,15,True
7,12,13,16,True
7,13,11,17,True
7,14,9,18,True
7,15,7,19,True
7,16,5,20,True
7,17,3,21,True
7,18,1,22,True
8,0,34,6,False
8,1,32,7,False
8,2,30,8,False
8,3,28,9,False
8,4,26,10,False
8,5,24,11,False
8,6,22,12,False
8,7,20,13,False
8,8,18,14,True
8,9,16,15,True
8,10,14,16,True
8,11,12,17,True
8,12,10,18,True
8,13,8,19,True
8,14,6,20,True
8,15,4,21,True
8,16,2,22,True
8,17,0,23,True
9,0,31,8,False
9,1,29,9,False
9,2,27,10,False
9,3,25,11,False
9,4,23,12,False
9,5,21,13,False
9,6,19,14,False
9,7,17,15,True
9,8,15,16,True
9,9,13,17,True
9,10,11,18,True
9,11,9,19,True
9,12,7,20,True
9,13,5,21,True
9,14,3,22,True
9,15,1,23,True
10,0,28,10,False
10,1,26,11,False
10,2,24,12,False
10,3,22,13,False
10,4,20,14,False
10,5,18,15,False
10,6,16,16,True
10,7,14,17,True
10,8,12,18,True
10,9,10,19,True
10,10,8,20,True
10,11,6,21,True
10,12,4,22,True
10,13,2,23,True
10,14,0,24,True
11,0,25,12,False
11,1,23,13,False
11,2,21,14,False
11,3,19,15,False
11,4,17,16,False
11,5,15,17,True
11,6,13,18,True
11,7,11,19,True
11,8,9,20,True
11,9,7,21,True
11,10,5,22,True
11,11,3,23,True
11,12,1,24,True
12,0,22,14,False
12,1,20,15,False
12,2,18,16,False
12,3,16,17,False
12,4,14,18,True
12,5,12,19,True
12,6,10,20,True
12,7,8,21,True
12,8,6,22,True
12,9,4,23,True
12,10,2,24,True
12,11,0,25,False
13,0,19,16,False
13,1,17,17,False
13,2,15,18,False
13,3,13,19,True
13,4,11,20,True
13,5,9,21,True
13,6,7,22,True
13,7,5,23,True
13,8,3,24,True
13,9,1,25,False
14,0,16,18,False
14,1,14,19,False
14,2,12,20,True
14,3,10,21,True
14,4,8,22,True
14,5,6,23,True
14,6,4,24,True
14,7,2,25,False
14,8,0,26,False
15,0,13,20,False
15,1,11,21,True
15,2,9,22,True
15,3,7,23,True
15,4,5,24,True
15,5,3,25,False
15,6,1,26,False
16,0,10,22,True
16,1,8,23,True
16,2,6,24,True
16,3,4,25,False
16,4,2,26,False
16,5,0,27,False
17,0,7,24,True
17,1,5,25,False
17,2,3,26,False
17,3,1,27,False
18,0,4,26,False
18,1,2,27,False
18,2,0,28,False
19,0,1,28,False
