Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,58,14,False
1,56,15,False
2,54,16,False
3,52,17,False
4,50,18,False
5,48,19,False
6,46,20,False
7,44,21,False
8,42,22,True
9,40,23,True
10,38,24,True
11,36,25,True
12,34,26,True
13,32,27,True
14,30,28,True
15,28,29,True
16,26,30,True
17,24,31,True
18,22,32,True
19,20,33,True
20,18,34,True
21,16,35,True
22,14,36,True
23,12,37,True
24,10,38,True
25,8,39,True
26,6,40,True
27,4,41,False
28,2,42,False
29,0,43,False
