Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
8,64,0,False
9,62,1,False
10,60,2,False
11,58,3,True
12,56,4,True
13,54,5,True
14,52,6,True
15,50,7,True
16,48,8,True
17,46,9,True
18,44,10,True
19,42,11,True
20,40,12,True
21,38,13,True
22,36,14,True
23,34,15,True
24,32,16,True
25,30,17,True
26,28,18,True
27,26,19,True
28,24,20,True
29,22,21,True
30,20,22,True
31,18,23,True
32,16,24,True
33,14,25,True
34,12,26,True
35,10,27,True
36,8,28,True
37,6,29,False
38,4,30,False
39,2,31,False
40,0,32,False
