Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,72,0,False
1,70,1,False
2,68,2,False
3,66,3,False
4,64,4,False
5,62,5,False
6,60,6,False
7,58,7,False
8,56,8,False
9,54,9,False
10,52,10,True
11,50,11,True
12,48,12,True
13,46,13,True
14,44,14,True
15,42,15,True
16,40,16,True
17,38,17,True
18,36,18,True
19,34,19,True
20,32,20,True
21,30,21,True
22,28,22,True
23,26,23,True
24,24,24,True
25,22,25,True
26,20,26,True
27,18,27,True
28,16,28,True
29,14,29,True
30,12,30,True
31,10,31,True
32,8,32,True
33,6,33,False
34,4,34,False
35,2,35,False
36,0,36,False
