Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,71,1,False
1,69,2,False
2,67,3,False
3,65,4,False
4,63,5,False
5,61,6,False
6,59,7,False
7,57,8,False
8,55,9,False
9,53,10,False
10,51,11,True
11,49,12,True
12,47,13,True
13,45,14,True
14,43,15,True
15,41,16,True
16,39,17,True
17,37,18,True
18,35,19,True
19,33,20,True
20,31,21,True
21,29,22,True
22,27,23,True
23,25,24,True
24,23,25,True
25,21,26,True
26,19,27,True
27,17,28,True
28,15,29,True
29,13,30,True
30,11,31,True
31,9,32,True
32,7,33,False
33,5,34,False
34,3,35,False
35,1,36,False
