Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
663,219,0,True
664,217,1,True
665,215,2,True
666,213,3,True
667,211,4,True
668,209,5,True
669,207,6,True
670,205,7,True
671,203,8,True
672,201,9,True
673,199,10,True
674,197,11,True
675,195,12,True
676,193,13,True
677,191,14,True
678,189,15,True
679,187,16,True
680,185,17,True
681,183,18,True
682,181,19,True
683,179,20,True
684,177,21,True
685,175,22,True
686,173,23,True
687,171,24,True
688,169,25,True
689,167,26,True
690,165,27,True
691,163,28,True
692,161,29,True
693,159,30,True
694,157,31,True
695,155,32,True
696,153,33,True
697,151,34,True
698,149,35,True
699,147,36,True
700,145,37,True
701,143,38,True
702,141,39,True
703,139,40,True
704,137,41,True
705,135,42,True
706,133,43,True
707,131,44,True
708,129,45,True
709,127,46,True
710,125,47,True
711,123,48,True
712,121,49,True
713,119,50,True
714,117,51,True
715,115,52,True
716,113,53,True
717,111,54,True
718,109,55,True
719,107,56,True
720,105,57,True
721,103,58,True
722,101,59,True
723,99,60,True
724,97,61,True
725,95,62,True
726,93,63,True
727,91,64,True
728,89,65,True
729,87,66,True
730,85,67,True
731,83,68,True
732,81,69,True
733,79,70,True
734,77,71,True
735,75,72,True
736,73,73,True
737,71,74,True
738,69,75,True
739,67,76,True
740,65,77,True
741,63,78,True
742,61,79,True
743,59,80,True
744,57,81,True
745,55,82,True
746,53,83,True
747,51,84,True
748,49,85,True
749,47,86,True
750,45,87,True
751,43,88,True
752,41,89,True
753,39,90,True
754,37,91,True
755,35,92,True
756,33,93,True
757,31,94,True
758,29,95,True
759,27,96,True
760,25,97,True
761,23,98,True
762,21,99,True
763,19,100,True
764,17,101,True
765,15,102,True
766,13,103,True
767,11,104,True
768,9,105,True
769,7,106,True
770,5,107,True
771,3,108,True
772,1,109,True
