Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
648,234,0,True
649,232,1,True
650,230,2,True
651,228,3,True
652,226,4,True
653,224,5,True
654,222,6,True
655,220,7,True
656,218,8,True
657,216,9,True
658,214,10,True
659,212,11,True
660,210,12,True
661,208,13,True
662,206,14,True
663,204,15,True
664,202,16,True
665,200,17,True
666,198,18,True
667,196,19,True
668,194,20,True
669,192,21,True
670,190,22,True
671,188,23,True
672,186,24,True
673,184,25,True
674,182,26,True
675,180,27,True
676,178,28,True
677,176,29,True
678,174,30,True
679,172,31,True
680,170,32,True
681,168,33,True
682,166,34,True
683,164,35,True
684,162,36,True
685,160,37,True
686,158,38,True
687,156,39,True
688,154,40,True
689,152,41,True
690,150,42,True
691,148,43,True
692,146,44,True
693,144,45,True
694,142,46,True
695,140,47,True
696,138,48,True
697,136,49,True
698,134,50,True
699,132,51,True
700,130,52,True
701,128,53,True
702,126,54,True
703,124,55,True
704,122,56,True
705,120,57,True
706,118,58,True
707,116,59,True
708,114,60,True
709,112,61,True
710,110,62,True
711,108,63,True
712,106,64,True
713,104,65,True
714,102,66,True
715,100,67,True
716,98,68,True
717,96,69,True
718,94,70,True
719,92,71,True
720,90,72,True
721,88,73,True
722,86,74,True
723,84,75,True
724,82,76,True
725,80,77,True
726,78,78,True
727,76,79,True
728,74,80,True
729,72,81,True
730,70,82,True
731,68,83,True
732,66,84,True
733,64,85,True
734,62,86,True
735,60,87,True
736,58,88,True
737,56,89,True
738,54,90,True
739,52,91,True
740,50,92,True
741,48,93,True
742,46,94,True
743,44,95,True
744,42,96,True
745,40,97,True
746,38,98,True
747,36,99,True
748,34,100,True
749,32,101,True
750,30,102,True
751,28,103,True
752,26,104,True
753,24,105,True
754,22,106,True
755,20,107,True
756,18,108,True
757,16,109,True
758,14,110,True
759,12,111,True
760,10,112,True
761,8,113,True
762,6,114,True
763,4,115,True
764,2,116,True
765,0,117,True
