Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
0,439,443,False
1,437,444,False
2,435,445,False
3,433,446,False
4,431,447,False
5,429,448,False
6,427,449,False
7,425,450,False
8,423,451,False
9,421,452,False
10,419,453,False
11,417,454,False
12,415,455,False
13,413,456,False
14,411,457,False
15,409,458,False
16,407,459,False
17,405,460,False
18,403,461,False
19,401,462,True
20,399,463,True
21,397,464,True
22,395,465,True
23,393,466,True
24,391,467,True
25,389,468,True
26,387,469,True
27,385,470,True
28,383,471,True
29,381,472,True
30,379,473,True
31,377,474,True
32,375,475,True
33,373,476,True
34,371,477,True
35,369,478,True
36,367,479,True
37,365,480,True
38,363,481,True
39,361,482,True
40,359,483,True
41,357,484,True
42,355,485,True
43,353,486,True
44,351,487,True
45,349,488,True
46,347,489,True
47,345,490,True
48,343,491,True
49,341,492,True
50,339,493,True
51,337,494,True
52,335,495,True
53,333,496,True
54,331,497,True
55,329,498,True
56,327,499,True
57,325,500,True
58,323,501,True
59,321,502,True
60,319,503,True
61,317,504,True
62,315,505,True
63,313,506,True
64,311,507,True
65,309,508,True
66,307,509,True
67,305,510,True
68,303,511,True
69,301,512,True
70,299,513,True
71,297,514,True
72,295,515,True
73,293,516,True
74,291,517,True
75,289,518,True
76,287,519,True
77,285,520,True
78,283,521,True
79,281,522,True
80,279,523,True
81,277,524,True
82,275,525,True
83,273,526,True
84,271,527,True
85,269,528,True
86,267,529,True
87,265,530,True
88,263,531,True
89,261,532,True
90,259,533,True
91,257,534,True
92,255,535,True
93,253,536,True
94,251,537,True
95,249,538,True
96,247,539,True
97,245,540,True
98,243,541,True
99,241,542,True
100,239,543,True
101,237,544,True
102,235,545,True
103,233,546,True
104,231,547,True
105,229,548,True
106,227,549,True
107,225,550,True
108,223,551,True
109,221,552,True
110,219,553,True
111,217,554,True
112,215,555,True
113,213,556,True
114,211,557,True
115,209,558,True
116,207,559,True
117,205,560,True
118,203,561,True
119,201,562,True
120,199,563,True
121,197,564,True
122,195,565,True
123,193,566,True
124,191,567,True
125,189,568,True
126,187,569,True
127,185,570,True
128,183,571,True
129,181,572,True
130,179,573,True
131,177,574,True
132,175,575,True
133,173,576,True
134,171,577,True
135,169,578,True
136,167,579,True
137,165,580,True
138,163,581,True
139,161,582,True
140,159,583,True
141,157,584,True
142,155,585,True
143,153,586,True
144,151,587,True
145,149,588,True
146,147,589,True
147,145,590,True
148,143,591,True
149,141,592,True
150,139,593,True
151,137,594,True
152,135,595,True
153,133,596,True
154,131,597,True
155,129,598,True
156,127,599,True
157,125,600,True
158,123,601,True
159,121,602,True
160,119,603,True
161,117,604,True
162,115,605,True
163,113,606,True
164,111,607,True
165,109,608,True
166,107,609,True
167,105,610,True
168,103,611,True
169,101,612,True
170,99,613,True
171,97,614,True
172,95,615,True
173,93,616,True
174,91,617,True
175,89,618,True
176,87,619,True
177,85,620,True
178,83,621,True
179,81,622,True
180,79,623,True
181,77,624,True
182,75,625,True
183,73,626,True
184,71,627,True
185,69,628,True
186,67,629,True
187,65,630,True
188,63,631,True
189,61,632,True
190,59,633,True
191,57,634,True
192,55,635,True
193,53,636,True
194,51,637,True
195,49,638,True
196,47,639,True
197,45,640,True
198,43,641,True
199,41,642,True
200,39,643,True
201,37,644,True
202,35,645,True
203,33,646,True
204,31,647,True
205,29,648,True
206,27,649,True
207,25,650,True
208,23,651,True
209,21,652,True
210,19,653,True
211,17,654,True
212,15,655,True
213,13,656,True
214,11,657,True
215,9,658,True
216,7,659,True
217,5,660,True
218,3,661,True
219,1,662,True
