Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
468,110,0,True
469,108,1,True
470,106,2,True
471,104,3,True
472,102,4,True
473,100,5,True
474,98,6,True
475,96,7,True
476,94,8,True
477,92,9,True
478,90,10,True
479,88,11,True
480,86,12,True
481,84,13,True
482,82,14,True
483,80,15,True
484,78,16,True
485,76,17,True
486,74,18,True
487,72,19,True
488,70,20,True
489,68,21,True
490,66,22,True
491,64,23,True
492,62,24,True
493,60,25,True
494,58,26,True
495,56,27,True
496,54,28,True
497,52,29,True
498,50,30,True
499,48,31,True
500,46,32,True
501,44,33,True
502,42,34,True
503,40,35,True
504,38,36,True
505,36,37,True
506,34,38,True
507,32,39,True
508,30,40,True
509,28,41,True
510,26,42,True
511,24,43,True
512,22,44,True
513,20,45,True
514,18,46,True
515,16,47,True
516,14,48,True
517,12,49,True
518,10,50,True
519,8,51,True
520,6,52,True
521,4,53,True
522,2,54,True
523,0,55,True
