Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
949,403,0,True
950,401,1,True
951,399,2,True
952,397,3,True
953,395,4,True
954,393,5,True
955,391,6,True
956,389,7,True
957,387,8,True
958,385,9,True
959,383,10,True
960,381,11,True
961,379,12,True
962,377,13,True
963,375,14,True
964,373,15,True
965,371,16,True
966,369,17,True
967,367,18,True
968,365,19,True
969,363,20,True
970,361,21,True
971,359,22,True
972,357,23,True
973,355,24,True
974,353,25,True
975,351,26,True
976,349,27,True
977,347,28,True
978,345,29,True
979,343,30,True
980,341,31,True
981,339,32,True
982,337,33,True
983,335,34,True
984,333,35,True
985,331,36,True
986,329,37,True
987,327,38,True
988,325,39,True
989,323,40,True
990,321,41,True
991,319,42,True
992,317,43,True
993,315,44,True
994,313,45,True
995,311,46,True
996,309,47,True
997,307,48,True
998,305,49,True
999,303,50,True
1000,301,51,True
1001,299,52,True
1002,297,53,True
1003,295,54,True
1004,293,55,True
1005,291,56,True
1006,289,57,True
1007,287,58,True
1008,285,59,True
1009,283,60,True
1010,281,61,True
1011,279,62,True
1012,277,63,True
1013,275,64,True
1014,273,65,True
1015,271,66,True
1016,269,67,True
1017,267,68,True
1018,265,69,True
1019,263,70,True
1020,261,71,True
1021,259,72,True
1022,257,73,True
1023,255,74,True
1024,253,75,True
1025,251,76,True
1026,249,77,True
1027,247,78,True
1028,245,79,True
1029,243,80,True
1030,241,81,True
1031,239,82,True
1032,237,83,True
1033,235,84,True
1034,233,85,True
1035,231,86,True
1036,229,87,True
1037,227,88,True
1038,225,89,True
1039,223,90,True
1040,221,91,True
1041,219,92,True
1042,217,93,True
1043,215,94,True
1044,213,95,True
1045,211,96,True
1046,209,97,True
1047,207,98,True
1048,205,99,True
1049,203,100,True
1050,201,101,True
1051,199,102,True
1052,197,103,True
1053,195,104,True
1054,193,105,True
1055,191,106,True
1056,189,107,True
1057,187,108,True
1058,185,109,True
1059,183,110,True
1060,181,111,True
1061,179,112,True
1062,177,113,True
1063,175,114,True
1064,173,115,True
1065,171,116,True
1066,169,117,True
1067,167,118,True
1068,165,119,True
1069,163,120,True
1070,161,121,True
1071,159,122,True
1072,157,123,True
1073,155,124,True
1074,153,125,True
1075,151,126,True
1076,149,127,True
1077,147,128,True
1078,145,129,True
1079,143,130,True
1080,141,131,True
1081,139,132,True
1082,137,133,True
1083,135,134,True
1084,133,135,True
1085,131,136,True
1086,129,137,True
1087,127,138,True
1088,125,139,True
1089,123,140,True
1090,121,141,True
1091,119,142,True
1092,117,143,True
1093,115,144,True
1094,113,145,True
1095,111,146,True
1096,109,147,True
1097,107,148,True
1098,105,149,True
1099,103,150,True
1100,101,151,True
1101,99,152,True
1102,97,153,True
1103,95,154,True
1104,93,155,True
1105,91,156,True
1106,89,157,True
1107,87,158,True
1108,85,159,True
1109,83,160,True
1110,81,161,True
1111,79,162,True
1112,77,163,True
1113,75,164,True
1114,73,165,True
1115,71,166,True
1116,69,167,True
1117,67,168,True
1118,65,169,True
1119,63,170,True
1120,61,171,True
1121,59,172,True
1122,57,173,True
1123,55,174,True
1124,53,175,True
1125,51,176,True
1126,49,177,True
1127,47,178,True
1128,45,179,True
1129,43,180,True
1130,41,181,True
1131,39,182,True
1132,37,183,True
1133,35,184,True
1134,33,185,True
1135,31,186,True
1136,29,187,True
1137,27,188,True
1138,25,189,True
1139,23,190,True
1140,21,191,True
1141,19,192,True
1142,17,193,True
1143,15,194,True
1144,13,195,True
1145,11,196,True
1146,9,197,True
1147,7,198,True
1148,5,199,True
1149,3,200,True
1150,1,201,True
