Blue-Blue,Blue-Red,Red-Red,Max Districts Achievable?
237,101,0,True
238,99,1,True
239,97,2,True
240,95,3,True
241,93,4,True
242,91,5,True
243,89,6,True
244,87,7,True
245,85,8,True
246,83,9,True
247,81,10,True
248,79,11,True
249,77,12,True
250,75,13,True
251,73,14,True
252,71,15,True
253,69,16,True
254,67,17,True
255,65,18,True
256,63,19,True
257,61,20,True
258,59,21,True
259,57,22,True
260,55,23,True
261,53,24,True
262,51,25,True
263,49,26,True
264,47,27,True
265,45,28,True
266,43,29,True
267,41,30,True
268,39,31,True
269,37,32,True
270,35,33,True
271,33,34,True
272,31,35,True
273,29,36,True
274,27,37,True
275,25,38,True
276,23,39,True
277,21,40,True
278,19,41,True
279,17,42,True
280,15,43,True
281,13,44,True
282,11,45,True
283,9,46,True
284,7,47,True
285,5,48,True
286,3,49,True
287,1,50,True
